Study name,Open Access,ECPC member,ECPC affiliation,Same sample as,Country,Setting/location,Latitude,Longitude,Longitudinal,Design,Follow-up (months),Quant/qual,Type,Intervention name,Control,Randomized,Sample size,Age 0-8,Age 9-25,Adult,Caregiver,Teacher,Key demographics,Child: Reading,Child: Writing,Child: Mathematics,Child: Cognitive,Child: Language,Child: Executive function,Child: Motor skills,Child: Social-emotional,Child: Mental health,Child: Behavioral,Child: Physical health,Child: Victimization,Caregiver: Mental health & well-being,Caregiver: positive/responsive,Caregiver: harsh/violent discipline,Caregiver: family unit,Caregiver outcomes (detail),Teacher/classroom outcomes,Biomarkers,Findings: Psychometrics,Findings: Descriptive,Findings: Group differences,Findings: Associations,Findings: Moderation,Findings: Mediation,Findings: Intervention impact,Key finding 1,Key finding 2,Key finding 3,Effect sizes,Notes,Authors,Year,Journal,DOI,OA URL,OpenAlex ID,Cited by,Abstract
"Aber, Larry — 2024 — CONSORT-SPI 2018 Explanation and Elaboration: Guidance for reporting social and…",Yes,"Aber, Larry",New York University Steinhardt,,International,,,,no,RCT,,quantitative,review,,,yes,384 Delphi participants (321 in both rounds); 31 consensus-meeting experts,,,,,,"Scientists, journal editors, and research funders (international)",,,,,,,,,,Yes,,,,,,,yes (see abstract),,,,,,Yes,,,,Background: The CONSORT (Consolidated Standards of Reporting Trials) Statement was developed to help biomedical researchers report randomised controlled trials (RCTs) transparently.,,,,[auto-coded from title+abstract; verify location/sample/findings against full text],"Susan Michie, Doug Altman, David Moher, Sean Grant, Duncan B. Clark, Kenneth R. McLeroy, Ray M. Kaplan, Mark Eisner, Paul Montgomery, Kamaldeep Bhui, Larry V. Hedges, P. Kaufmann, Peter Craig, M.W. Fraser, Joanne Yaffe, Ruth West, Edmund Sonuga‐Barke, Leah Sherman, Geraldine Macdonald, Stasinos Konstantopoulos, S. D. Hollon, J. Lawrence Aber, Sally Hopewell, Frances Gardner, CONSORT-SPI Group, Andrew Booth, B. Mittman, Elizabeth Waters, Gary R. VandenBos, A Nezu, Evan Mayo‐Wilson, Johanna Thomas",2024,UNC Libraries,10.17615/w9f2-ce75,https://doi.org/10.17615/w9f2-ce75,https://openalex.org/W4400024098,0,"Background: The CONSORT (Consolidated Standards of Reporting Trials) Statement was developed to help biomedical researchers report randomised controlled trials (RCTs) transparently. We have developed an extension to the CONSORT 2010 Statement for social and psychological interventions (CONSORT-SPI 2018) to help behavioural and social scientists report these studies transparently. Methods: Following a systematic review of existing reporting guidelines, we conducted an online Delphi process to prioritise the list of potential items for the CONSORT-SPI 2018 checklist identified from the systematic review. Of 384 international participants, 321 (84%) participated in both rating rounds. We then held a consensus meeting of 31 scientists, journal editors, and research funders (March 2014) to finalise the content of the CONSORT-SPI 2018 checklist and flow diagram. Results: CONSORT-SPI 2018 extends 9 items (14 including sub-items) from the CONSORT 2010 checklist, adds a new item (with 3 sub-items) related to stakeholder involvement in trials, and modifies the CONSORT 2010 flow diagram. This Explanation and Elaboration (E&E) document is a user manual to enhance understanding of CONSORT-SPI 2018. It discusses the meaning and rationale for each checklist item and provides examples of complete and transparent reporting. Conclusions: The CONSORT-SPI 2018 Extension, this E&E document, and the CONSORT website ( www.consort-statement.org ) are helpful resources for improving the reporting of social and psychological intervention RCTs."
"Aber, Larry — 2024 — Patterns of self-regulation and emotional well-being among Syrian refugee children in…",Yes,"Aber, Larry",New York University Steinhardt,,Lebanon,,,,no,unclear,,quantitative,intervention,,,unclear,2132,,,,,,refugees/IDPs,,,,Yes,,Yes,,Yes,Yes,Yes,,,,,,,,,,,Yes,,Yes,,,,"In this descriptive and hypothesis-generating study, we address these current limitations to the literature: by investigating self- regulatory processes and emotional well-being among school-age children whose families have fled Syria due to extended civil conflict and now live as refugees in northern and eastern Lebanon; and by adopting a person-centered (idiographic) and organiza- tional approach to describing within-sample differences in the organization (or patterning) of self-regulation skills and emotional well-being and their contextual and experiential correlates.","In the remainder of this introduction, we will (a) introduce several issues in the conceptualization and manifestation of",,,,"J. Lawrence Aber, Ha Yeon Kim, Zezhen Wu",2024,Development and Psychopathology,https://doi.org/10.1017/s0954579424001202,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/3F0E4B1C90E62D3FE586DD0D2DB401BE/S0954579424001202a.pdf/div-class-title-patterns-of-self-regulation-and-emotional-well-being-among-syrian-refugee-children-in-lebanon-an-exploratory-person-centered-approach-div.pdf,https://openalex.org/W4404509195,3,"This study explores patterns of self-regulation and emotional well-being among Syrian refugee children in Lebanon, employing a person-centered approach, responding to theoretical challenges articulated by Dante Cicchetti and other psychologists. Using latent profile analysis with data from 2,132 children, we identified seven distinct profiles across cognitive regulation, emotional-behavioral regulation, interpersonal regulation, and emotional well-being. These profiles showed significant heterogeneity in patterns of self-regulation across domains and emotional well-being among Syrian children. Some profiles consistently exhibited either positive (""Well-regulated and Adjusted"") or negative (""Moody and Frustrated"") functioning across all domains, while others revealed domain-specific challenges, e.g., particularly sensitive to interpersonal conflict. This heterogeneity in the organization of self-regulatory skill and emotional well-being challenges the traditional homogeneous view of child development in conflict settings. The study also underscores the profiles' differential associations with demographic characteristics and experiences, with school-related experiences being particularly salient. We discuss the implications of these findings for future research in developmental psychopathology on self-regulation and emotional well-being in conflict-affected contexts. In addition, we advocate for tailored interventions to meet the diverse needs of children affected by conflict."
"Aber, Larry — 2024 — Reporting randomised trials of social and psychological interventions: The CONSORT-SPI…",Yes,"Aber, Larry",New York University Steinhardt,,International,,,,no,RCT,,quantitative,review,,,yes,384 Delphi participants; 31 consensus-meeting experts,,,,,,"Behavioural and social scientists, journal editors, funders (international)",,,,,,,,,,Yes,,,,,,,yes (see abstract),,,,,,Yes,,,,Background: Randomised controlled trials (RCTs) are used to evaluate social and psychological interventions and inform policy decisions about them.,,,,[auto-coded from title+abstract; verify location/sample/findings against full text],"David Moher, Steven D. Hollon, Edmund Sonuga‐Barke, Peter Craig, Stavros Konstantopoulos, P. Kaufmann, Larry V. Hedges, A Nezu, B. Mittman, Sally Hopewell, Susan Michie, Anna Booth, Kamaldeep Bhui, Gary R. VandenBos, Frances Gardner, M.W. Fraser, Geraldine Macdonald, Evan Mayo‐Wilson, Sean Grant, Douglas G. Altman, J. Lawrence Aber, Dav Clark, Mark Eisner, James Thomas, CONSORT-SPI Group, Joanne Yaffe, Robert M. Kaplan, Kenneth R. McLeroy, Lawrence W. Sherman, Robert West, Paul Montgomery, Erika A. Waters",2024,"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)",10.17615/qybb-s861,https://ora.ox.ac.uk/objects/uuid:4e3a303a-eb1d-41fe-9c99-e9cc33c2c24c,https://openalex.org/W4400024048,0,"Background: Randomised controlled trials (RCTs) are used to evaluate social and psychological interventions and inform policy decisions about them. Accurate, complete, and transparent reports of social and psychological intervention RCTs are essential for understanding their design, conduct, results, and the implications of the findings. However, the reporting of RCTs of social and psychological interventions remains suboptimal. The CONSORT Statement has improved the reporting of RCTs in biomedicine. A similar high-quality guideline is needed for the behavioural and social sciences. Our objective was to develop an official extension of the Consolidated Standards of Reporting Trials 2010 Statement (CONSORT 2010) for reporting RCTs of social and psychological interventions: CONSORT-SPI 2018. Methods: We followed best practices in developing the reporting guideline extension. First, we conducted a systematic review of existing reporting guidelines. We then conducted an online Delphi process including 384 international participants. In March 2014, we held a 3-day consensus meeting of 31 experts to determine the content of a checklist specifically targeting social and psychological intervention RCTs. Experts discussed previous research and methodological issues of particular relevance to social and psychological intervention RCTs. They then voted on proposed modifications or extensions of items from CONSORT 2010. Results: The CONSORT-SPI 2018 checklist extends 9 of the 25 items from CONSORT 2010: background and objectives, trial design, participants, interventions, statistical methods, participant flow, baseline data, outcomes and estimation, and funding. In addition, participants added a new item related to stakeholder involvement, and they modified aspects of the flow diagram related to participant recruitment and retention. Conclusions: Authors should use CONSORT-SPI 2018 to improve reporting of their social and psychological intervention RCTs. Journals should revise editorial policies and procedures to require use of reporting guidelines by authors and peer reviewers to produce manuscripts that allow readers to appraise study quality, evaluate the applicability of findings to their contexts, and replicate effective interventions."
"Aber, Larry — 2025 — Coaching-Observing-Reflecting-Engaging: An Intervention for the Development of Teacher…",Yes,"Aber, Larry",New York University Steinhardt,,Low- And Middle-Income; Colombia,Schools (field testing in Chocó),,,no,review,,quantitative,review,Coaching-Observing-Reflecting-Engaging (CORE) for Teachers,,not applicable,,,,,,,Teachers in low- and middle-income/conflict-affected settings,,,,,,,,Yes,Yes,Yes,,,,,,,,yes (see abstract),,,,,,,,Yes,CORE is informed by the theoretical underpinnings of acceptance and commitment therapy (Hayes et al.,"2013) and the Collaborative for Academic, Social, and Emotional Learning framework for social-emotional learning (",,,,"April R. Coetzee, Felicity L. Brown, Vânia Alves, J. Lawrence Aber, Juliana Cordoba, Mark J. D. Jordans",2025,Journal on Education in Emergencies,https://doi.org/10.33682/e5yq-4mfm,http://archive.nyu.edu/bitstream/2451/74861/2/JEiE_Vol10No1_The-CORE-Intervention-for-Teacher-Wellbeing_February2025.pdf,https://openalex.org/W4407162562,1,"Support to improve teacher wellbeing is scarce in almost all contexts, but especially so in low- and middle-income settings in which teachers face both professional and personal challenges (Kirk and Winthrop 2007; Mendenhall, Gomez, and Varni 2018). In this field note, we discuss War Child's development of Coaching-Observing-Reflecting-Engaging (CORE) for Teachers, an intervention that focuses on improving teachers' wellbeing. CORE is grounded in acceptance and commitment therapy and in the social-emotional framework of the Collaborative for Academic, Social, and Emotional Learning. It also draws from current research, including Jennings and Greenberg's (2009) prosocial classroom model. CORE aims to have a positive influence on classroom climate by providing teachers with the skills and knowledge they need to create an enabling, impactful, and safe learning environment for their students. In this field note, we outline the background on the development of the CORE intervention, including a literature review, the development of a theory of change, and field testing conducted in Chocó, Colombia. Having been field tested and adapted, CORE now is ready for further studies to determine feasibility and effectiveness."
"Aber, Larry — 2025 — From Philosophical Anthropology to Developmental Psychology: Working Pasteur’s Quadrant",No,"Aber, Larry",New York University Steinhardt,,,,,,yes,longitudinal cohort,,quantitative,intervention,,,no,,,,,,,,,,,Yes,,,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,"In this chapter I describe how my interests in and commitment to developmental psychology grew in a multidimensional, discontinuous, nonlinear fashion.",,,,[auto-coded from title+abstract; verify location/sample/findings against full text],J. Lawrence Aber,2025,Cambridge University Press eBooks,10.1017/9781009425766.033,,https://openalex.org/W4407721156,0,"In this chapter I describe how my interests in and commitment to developmental psychology grew in a multidimensional, discontinuous, nonlinear fashion. Prominent early personal, social, and intellectual influences included: coming of age in the 1960s, transitioning from fervent Catholicism to philosophy and science as my guiding stars through college and graduate school. I shape my story around the notion that “half of life is accident, and the other half is what one intentionally makes out of accident.” I began my work by focusing on the nature, causes and consequences of child maltreatment. Pursuing further research, practice, and policy interests, I conducted theory-informed longitudinal studies of the influence of risk factors (especially poverty and violence) on various dimensions of developmental processes and outcomes. More recently, I shifted focus to the design, conduct and analysis of randomized trials of school and/or neighborhood-based, social-emotional learning interventions, in the USA and then in conflict-and-crisis affected countries in the Middle East, Africa, and Latin America. Creating and supporting collaborations with students, colleagues, and organizations has been critical throughout."
"Aber, Larry — 2025 — Improving Classroom Quality and Children’s Learning in Early Childhood Education:…",No,"Aber, Larry",New York University Steinhardt,,Ghana,Pre-primary schools,7.95,-1.02,no,Case study / methodological review,,quantitative,intervention,In-service teacher training and parental-awareness program,,unclear,,,,,,,Pre-primary children; teachers; education ministry partners,,,,,,,,,,Yes,,,,,,,yes (see abstract),yes (see abstract),,,,,,,,,"In addition, we describe unexpected findings of the parental awareness program that pose several new research questions.",Implications for future research on measuring and improving preprimary educational quality through similar research–practice partnerships are discussed.,,,,"Sharon Wolf, J. Lawrence Aber, Jere R. Behrman, Edward Tsinigo",2025,,https://doi.org/10.1108/978-1-80117-624-820251001,,https://openalex.org/W4412941865,0,"Abstract This chapter critically reviews opportunities and challenges in designing and conducting actionable research on improving preprimary school quality and children’s learning and development, with a case study in Ghana. We describe the development of a research–practice partnership among university-based researchers, a local research organization, and Ghana’s Ministry of Education. The partnership developed and evaluated an in-service teacher training and a parental awareness program. Both programs pursued the same goals of increasing child-centered and play-based learning and improving children’s school readiness. We discuss the successes and challenges of scaling-up a successful teacher in-service training program. In addition, we describe unexpected findings of the parental awareness program that pose several new research questions. Implications for future research on measuring and improving preprimary educational quality through similar research–practice partnerships are discussed."
"Aber, Larry — 2025 — Post-migration risks, developmental processes, and learning among Syrian refugee children…",Yes,"Aber, Larry",New York University Steinhardt,,,,,,no,unclear,,quantitative,observational,,,unclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ha Yeon Kim, J. Lawrence Aber, Lindsay Brown, Margaret A. Sheridan, Carly Tubbs Dolan",2025,UNC Libraries,https://doi.org/10.17615/h274-8k39,https://doi.org/10.17615/h274-8k39,https://openalex.org/W4416205506,0,
"Aber, Larry — 2025 — Understanding the effects of values affirmation on deaf students in Nepal: evidence from…",Yes,"Aber, Larry",New York University Steinhardt,,Nepal,Secondary deaf schools,28.39,84.12,no,RCT,,qualitative,intervention,Values affirmation intervention,Control writing exercise,yes,,,,,,,Deaf secondary-school students,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,,,,"In Study 1, we found moderate and suggestive evidence that values affirmation had a small effect on lowering students’ perceived stereotype threats and improving their academic performance.","These findings suggested that the intervention might not counter severe threats for some students but could help those facing objectively high, yet relatively lower, threats by providing a psychological buffer.",,,,"Zezhen Wu, Shwetlena Sabarwal, Diwakar Basnet, J. Lawrence Aber, Geoffrey L. Cohen",2025,Social Psychology of Education,https://doi.org/10.1007/s11218-025-10097-7,https://link.springer.com/content/pdf/10.1007/s11218-025-10097-7.pdf,https://openalex.org/W4412033923,1,"In this paper, we present two studies from the first randomized controlled trial on the impact of a values affirmation intervention on academic performance and psychological well-being in school for deaf students in secondary deaf schools in Nepal. In Study 1, we found moderate and suggestive evidence that values affirmation had a small effect on lowering students’ perceived stereotype threats and improving their academic performance. Contrary to the evidence in past studies, the affirmation effect was stronger among students who initially reported facing fewer stereotype threats. These findings suggested that the intervention might not counter severe threats for some students but could help those facing objectively high, yet relatively lower, threats by providing a psychological buffer. In Study 2, we conducted a qualitative thematic analysis of students’ reflections in both the treatment and control exercises and used the thematic codes to predict academic performance separately within each treatment condition. We found strong evidence that reflections on the themes “Self-awareness and growth in self-identity” and “Relationship with friends” were positively associated with better academic performance for students in the treatment group. We found no evidence that any themes in the control group negatively predicted academic performance for students in the control group. These findings pinpoint plausible context-speific mechanisms for values affirmation and provide an example research agenda for future values affirmation studies targeting vulnerable populations in novel contexts."
"Aber, Larry — 2026 — Investigating the bidirectional relationships between social and emotional learning and…",No,"Aber, Larry",New York University Steinhardt,,Lebanon,Non-formal education support program,33.85,35.86,no,cluster RCT,,quantitative,intervention,,,yes,"2,757 students; 131 teachers",Some (school-aged refugee children),,,,,refugees/IDPs,,,,,,Yes,,Yes,Yes,Yes,,,,,,,,yes (see abstract),,,,,Yes,,,,"Findings highlight the distinct and central role of Working Memory Functioning in academic learning, suggesting that easier-to-collect academic performance data may serve as an indicator of SEL skills that may be difficult to assess sans strong teacher–student relationships.","Further, they highlight the utility of teacher-reported SEL assessments in resource-constrained contexts, calling attention to bidirectional developmental pathways when supporting children’s holistic well-being.",,Multilevel modeling; bidirectional WMF<->academic performance significant,,"Abiraahmi Shankar, Ha Yeon Kim, Caroline Tubbs-Dolan, Roxane Caires, J. Lawrence Aber, Mayarí Montes de Oca, Patrick Anker",2026,International Journal of Behavioral Development,https://doi.org/10.1177/01650254261434433,,https://openalex.org/W7160414418,0,"This study investigates bidirectional relationships between Syrian refugee children’s social and emotional learning (SEL) skills and academic performance in an education support program in Lebanon. Using data from a cluster randomized control trial with 2,757 students who completed performance-based academic assessments and reports of their SEL skills from 131 teachers, we examine bidirectional associations between academic and five teacher-observable SEL skills/behaviors: Working Memory Functioning, Inhibitory Control Functioning, Prosocial Behavior, Hyperactivity &amp; Externalizing Behavior, and Emotional Distress &amp; Internalizing Behavior. Controlling for child-, teacher-, household risk-, and site-level covariates, multilevel modeling revealed that Working Memory Functioning uniquely stood apart from other SEL domains: start-of-year teacher-reported Working Memory Functioning predicted end-of-year academic performance, and start-of-year academic performance predicted end-of-year teacher-reported Working Memory Functioning. No other SEL skills demonstrated such bidirectional associations. Start-of-year academic performance also negatively predicted end-of-year teacher-reported Emotional Distress. Findings highlight the distinct and central role of Working Memory Functioning in academic learning, suggesting that easier-to-collect academic performance data may serve as an indicator of SEL skills that may be difficult to assess sans strong teacher–student relationships. Further, they highlight the utility of teacher-reported SEL assessments in resource-constrained contexts, calling attention to bidirectional developmental pathways when supporting children’s holistic well-being."
"Betancourt, Theresa — 2023 — A Tale of Two Programs for Parents of Young Children: Independently-Conducted Case…",Yes,"Betancourt, Theresa",Boston College School of Social Work,,Rwanda,,-1.94,29.87,yes,mixed-methods,,quantitative,intervention,Prescription to Play (Bhutan); Sugira Muryango (Rwanda),,no,,,,,Parents,,parents,,,,,,,,,,Yes,,,,Yes,,,parenting practices,,,,,,,,,,The facilitators of scaling for Bhutan included institutionalizing training and a knowledgeable workforce; the barrier was an overworked workforce.,The facilitators of scaling for Rwanda included strong follow-up supervision; the barriers included high attrition among a volunteer workforce.,,"Mean delivery-quality rating 2.36 (Bhutan), 2.44 (Rwanda) of 3",,"Frances E. Aboud, Karma Choden, Michael Tusiimi, Rafael Contreras Gomez, Rachel Hatch, Sara Dang, Theresa S. Betancourt, Karma Dyenka, Grace Umulisa, Carina Omoeva",2023,Children,https://doi.org/10.3390/children10081413,https://www.mdpi.com/2227-9067/10/8/1413/pdf?version=1692436474,https://openalex.org/W4386030601,10,"Two case studies of parenting programs, aiming to improve parenting practices and child development outcomes, and implemented by Save the Children/Ministry of Health/Khesar Gyalpo University in Bhutan and Boston College/University of Rwanda/FXB in Rwanda, respectively called Prescription to Play and Sugira Muryango, were conducted by an independent research and learning group. Implementation research focused on the workforce, a crucial but little-studied element determining the success of programs going to scale. Mixed methods were used to examine their training, workload, challenges, and quality of delivery. Health assistants in Bhutan and volunteers in Rwanda were trained for 10-11 days using demonstrations, role plays, and manuals outlining activities to deliver to groups of parents (Bhutan) or during home visits (Rwanda). Workers' own assessments of their delivery quality, their confidence, and their motivations revealed that duty, confidence, and community respect were strong motivators. According to independent observations, the quality of their delivery was generally good, with an overall mean rating on 10 items of 2.36 (Bhutan) and 2.44 (Rwanda) out of 3. The facilitators of scaling for Bhutan included institutionalizing training and a knowledgeable workforce; the barrier was an overworked workforce. The facilitators of scaling for Rwanda included strong follow-up supervision; the barriers included high attrition among a volunteer workforce."
