File name,Same sample as,Location,,,,Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Key findings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does the study include a figure(s) illustrating the key study findings?,Does the study include an image/graphic/figure of a conceptual framework?,Notes,,Open Access,ECPC member,ECPC affiliation,Authors,Year,Journal,DOI,OA URL,OpenAlex ID,Cited by,Abstract
**BLANK**,,,,,,Longitudinal,,,Observational,,Intervention/Prevention study,,,,,,,,,,,Key demographics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,** see summary of findings at the beginning of the Discussion section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"** (e.g., Fig 1 in this paper: https://www.bmj.com/content/371/bmj.m2876)",** add anything noteworthy,,,,,,,,,,,,
**BLANK**,,,,,,"** if yes, indicate time between time points, e.g., in years or months",,,** this means no intervention,,Name of the intervention (or brief descriptive title if name is not available),,,Control group?,Assignment to groups randomized?,,,,,,,"** e.g., age range, average age, proportion of gender/sex; socio-economic status, if described in the text",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,** review the Results section; copy-paste description of key findings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**BLANK**,,-------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Country,Setting/location,latitude,longitude,,design,followup (months),quant_qual,type,,control,randomized,,,sample,age_0_8,age_9_25,adult,caregiver,teacher,,Child outcomes,,,,,,,,,,,,,,,,"Caregiver, family, household level",,,,,,,,,Other adult outcomes,,,,"Teacher-, classroom-, or school-level",,,,,Biomakers,,,,,Psychometrics,Descriptive,Group differences,Associations,,"Differential impact (""moderation"")",Mediation,Intervention impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Reading,Writing,Mathematics,Cognitive,Language,Executive function,Motor skills,Social emotional development,Mental health problems,Behavioral problems,Internalizing problems,Externalizing problems,Physical health,Victimization,Misc (Split into: individual vs. support vs. adaptive behaviors),// Break //,Mental health and well-being,Social-emotional skills,Victimization,Knowledge,Caregiver behavior and practices - positive/reponsive caregiving,Caregiver behavior and practices - harsh/violent disciplinary practices,"Caregiver dyads or family unit (Co-parenting, paternal engagement, family unity and connectedness, intergenerational congruence, family conflict)",Misc,// BREAK //,Mental health,Victimization,Social-emotional skills,Misc,Instructional practices and process quality,Structural quality,Teacher-child interactions,Teacher mental health,Misc,Neurophysiology,Single-gene polymorphism,Stress reactivity,Misc,,,,,Negative,Positive,,,Child level,,,,,,,,,,,,,Caregiver behavior and practices,,,,,,,Caregiver mental health and well-being,,,Misc,,Psychometrics,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reading,Math,,Language,Attachment relationships,Prosocial protective factors,Attention problems,Externalizing problems,Conduct problems,Functional impairment,Traumatic stress reactions,Internalizing problems,,Violent disciplinary practices,Shared decision making,Household conflict,Family connectedness,Parenting,Parent-child relationship,,Anxiety,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometry,Addition/subtraction,Vocabulary,,,,,,,,Composite,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aber, Larry — 2024 — Patterns of self-regulation and emotional well-being among Syrian refugee children in…",,Lebanon,Northern & eastern Lebanon (Akkar and Bekaa governorates),33.85,35.90,no,Cross-sectional (latent profile analysis); secondary analysis of 5CSEL/HCT cluster-RCT baseline data,,quantitative,observational,(Secondary analysis of Five-Component SEL / Healing Classroom Tutoring CRCT data),,not applicable (descriptive person-centered analysis),,,"2,132",Yes,Yes,,,,"2,132 Syrian refugee children; 50.3% female; grades 1–7 (M grade=2.95); ~53% in Akkar, rest Bekaa; mean 4.1 years in Lebanon; 94.5% in extreme poverty; refugees/IDPs; aged 5–16 (M=9.24, SD=2.36; 90% aged 6–12)",,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,"Self-regulation across 4 domains: cognitive regulation (working memory, inhibitory control), emotional-behavioral regulation, interpersonal regulation; emotional well-being (emotion knowledge, positive/negative affect, internalizing symptoms)",,,,,,,,,,,,,,,,,,,,,,,,"Latent profile analysis of 18 self-regulation & emotional well-being indicators (n=2,132); best-fitting unrestricted 7-profile model (entropy=0.853): Profile 1 Happy & positive (11%), Profile 2 Poorly regulated (9%), Profile 3 Sensitive to interpersonal conflict/otherwise regulated (21%), Profile 4 Troubled in classrooms (13%), Profile 5 Well-regulated/emotionally-adjusted (14%), Profile 6 Moody & frustrated (23%), Profile 7 Teacher's favorites (8%). | Multinomial regression (ref=Profile 5): school-related experiences were the most salient predictors of profile membership — school victimization predicted less-adapted profiles (Moody/frustrated b=1.15, p<.001; Troubled b=1.03; Sensitive b=0.76); higher ASER academic score predicted Teacher's favorites (b=0.99) and lower odds of Poorly regulated (b=-1.50); girls less likely Poorly regulated (b=-0.79), more likely Teacher's favorites (b=1.14). No background characteristics distinguished Profile 5 vs the other well-adjusted group; war violence and family conflict were largely non-significant.",Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes (Figure 1: the seven profiles),No,"Latent profile analysis of 18 self-regulation & emotional well-being indicators identified 7 distinct profiles among 2,132 Syrian refugee children: (1) Happy & positive (11%); (2) Poorly regulated (9%); (3) Sensitive to interpersonal conflict/otherwise regulated (21%); (4) Troubled in classrooms (13%); (5) Well-regulated/emotionally-adjusted (14%); (6) Moody & frustrated (23%); (7) Teacher's favorites (8%). Substantial heterogeneity challenges a homogeneous view of development in conflict settings. Multinomial regression (ref=Profile 5) showed SCHOOL-RELATED experiences were the most salient predictors of profile membership: school victimization predicted less-adapted profiles (Moody/frustrated b=1.15, p<.001; Troubled b=1.03; Sensitive b=0.76); higher ASER academic scores predicted Teacher's favorites (b=0.99) and lower odds of Poorly regulated (b=-1.50); girls were less likely Poorly regulated (b=-0.79) and more likely Teacher's favorites (b=1.14). War violence and family conflict were largely non-significant. Authors advocate tailored, profile-specific interventions.",,Yes,"Aber, Larry",New York University Steinhardt,"J. Lawrence Aber, Ha Yeon Kim, Zezhen Wu",2024,Development and Psychopathology,https://doi.org/10.1017/s0954579424001202,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/3F0E4B1C90E62D3FE586DD0D2DB401BE/S0954579424001202a.pdf/div-class-title-patterns-of-self-regulation-and-emotional-well-being-among-syrian-refugee-children-in-lebanon-an-exploratory-person-centered-approach-div.pdf,https://openalex.org/W4404509195,3,"This study explores patterns of self-regulation and emotional well-being among Syrian refugee children in Lebanon, employing a person-centered approach, responding to theoretical challenges articulated by Dante Cicchetti and other psychologists. Using latent profile analysis with data from 2,132 children, we identified seven distinct profiles across cognitive regulation, emotional-behavioral regulation, interpersonal regulation, and emotional well-being. These profiles showed significant heterogeneity in patterns of self-regulation across domains and emotional well-being among Syrian children. Some profiles consistently exhibited either positive (""Well-regulated and Adjusted"") or negative (""Moody and Frustrated"") functioning across all domains, while others revealed domain-specific challenges, e.g., particularly sensitive to interpersonal conflict. This heterogeneity in the organization of self-regulatory skill and emotional well-being challenges the traditional homogeneous view of child development in conflict settings. The study also underscores the profiles' differential associations with demographic characteristics and experiences, with school-related experiences being particularly salient. We discuss the implications of these findings for future research in developmental psychopathology on self-regulation and emotional well-being in conflict-affected contexts. In addition, we advocate for tailored interventions to meet the diverse needs of children affected by conflict."
"Aber, Larry — 2025 — Improving Classroom Quality and Children’s Learning in Early Childhood Education:…",,Ghana,Greater Accra Region; pre-primary (kindergarten) public & private schools,5.61,-0.21,no,Book chapter / research–practice partnership case study (reviews a cluster-RCT: Quality Preschool for Ghana),,quantitative,intervention,Quality Preschool for Ghana (QP4G): in-service teacher training + parental-awareness program,Yes (3 arms: teacher training; teacher training + parental awareness; control),"yes (cluster; 240 schools, 6 disadvantaged Greater Accra districts)",,,"240 schools; ~3,345 children; ECE teachers & district coordinators (coaches)",Yes,,,,,Pre-primary (kindergarten) children (~age 5); ECE teachers; district ECE coordinators serving as coaches; Ministry of Education/Ghana Education Service partners; 6 most-disadvantaged Greater Accra districts,Yes,,Yes,,,Yes,,Yes,,Yes,,,,,,,,,,Yes (parental awareness/expectations),,,,yes (see abstract),,,,,,Yes,,Yes,"Yes (professional well-being, burnout, turnover)",yes (see abstract),,,,,"Impacts on classroom processes (Emotional Support, Behavior Management, Supporting Student Expression) were moderate (0.5–0.6 SD); impacts on children's academic and social-emotional school-readiness outcomes were small (0.13–0.18 SD), with little evidence of impact heterogeneity by gender or baseline proficiency. | Moderate-sized reductions in teacher burnout and mid-year attrition (much larger in the private sector). | The added parental-awareness intervention rather than enhancing the teacher-training program counter-acted impacts on some dimensions of classroom quality and on ALL child outcomes, including negative impacts on numeracy 2 years later; teacher-training gains were largely sustained one year later, but teachers likely need ongoing support to sustain quality improvement.",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes (chapter figures),Yes (partnership / theory of change),"Research–practice partnership case study reviewing the Quality Preschool for Ghana (QP4G) cluster-RCT (240 schools; 3 arms). The in-service teacher-training program (an 8-week preservice course condensed to a scalable 5-day in-service format, with district ECE coordinators trained as coaches) significantly improved multiple dimensions of teaching/process quality, teacher knowledge, and professional well-being (reduced burnout and turnover), and improved children's school readiness—notably social-emotional skills; teacher-training impacts were largely sustained one year later. The added parental-awareness program (3 videos shown via Parent–Teacher Association meetings) produced UNEXPECTED counteracting/negative effects on child school-readiness outcomes, concentrated in households with non-literate male heads, posing new research questions. Demonstrates the feasibility and challenges of scaling teacher training through existing government systems via a research–practice partnership.",,No,"Aber, Larry",New York University Steinhardt,"Sharon Wolf, J. Lawrence Aber, Jere R. Behrman, Edward Tsinigo",2025,,https://doi.org/10.1108/978-1-80117-624-820251001,,https://openalex.org/W4412941865,0,"Abstract This chapter critically reviews opportunities and challenges in designing and conducting actionable research on improving preprimary school quality and children’s learning and development, with a case study in Ghana. We describe the development of a research–practice partnership among university-based researchers, a local research organization, and Ghana’s Ministry of Education. The partnership developed and evaluated an in-service teacher training and a parental awareness program. Both programs pursued the same goals of increasing child-centered and play-based learning and improving children’s school readiness. We discuss the successes and challenges of scaling-up a successful teacher in-service training program. In addition, we describe unexpected findings of the parental awareness program that pose several new research questions. Implications for future research on measuring and improving preprimary educational quality through similar research–practice partnerships are discussed."
"Aber, Larry — 2026 — Investigating the bidirectional relationships between social and emotional learning and…",,Lebanon,Bekaa & Akkar regions; non-formal Healing Classroom Tutoring (HCT) education support program,33.85,35.86,yes (within school year; ~17-week interval between waves),Longitudinal (2 waves); secondary analysis of cluster-RCT (HCT treatment sites only),4,quantitative,observational,(Secondary analysis of Healing Classroom Tutoring CRCT data; HCT-only and HCT+SEL treatment sites),,not applicable (analysis uses HCT treatment sites),,,"2,757 students; 131 teachers",Yes,Yes,,,Yes,"2,757 Syrian refugee children (aged 5–16, M=8.98, SD=2.32; 49.7% female) enrolled in HCT in Bekaa & Akkar; 131 locally hired/trained teachers (aged 18–48, M=27.45, 91.2% female); ~17 students per classroom; refugees/IDPs",Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,"Academic performance composite (literacy + numeracy); five teacher-reported SEL domains: Working Memory Functioning, Inhibitory Control Functioning, Prosocial Behavior & Social Acceptance, Hyperactivity/Externalizing, Emotional Distress/Internalizing",,,,,,,,,,,,,,,,,Yes (teacher-reported SEL),,yes (see abstract),,,,,"Only Working Memory Functioning predicted academic performance (b=.10, SE=.02, p<.01), above and beyond the other SEL competencies and baseline academic performance. | Increases in academic performance were positively associated with end-of-year Working Memory Functioning (b=.24, SE=.04, p<.001) and negatively associated with end-of-year Emotional Distress & Internalizing Behavior (b=-.11, SE=.04, p<.01). | No other SEL skill (inhibitory control, prosocial behavior, hyperactivity/externalizing) showed bidirectional associations with academics; post-hoc interactions were at most marginal (none met p<.05 except a baseline-academics × initial-hyperactivity term).",,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,"Bidirectional multilevel models (2,757 students, 131 teachers; ~17-week interval) controlling for child, teacher, household-risk and site covariates. Working Memory Functioning uniquely showed RECIPROCAL links with academics: start-of-year teacher-reported WM predicted end-of-year academic performance (b=.10, SE=.02, p<.01), AND start-of-year academic performance predicted end-of-year WM (b=.24, SE=.04, p<.001). No other SEL skill showed bidirectional associations. Start-of-year academic performance also NEGATIVELY predicted end-of-year Emotional Distress/Internalizing (b=-.11, SE=.04, p<.01). Inhibitory control, prosocial behavior, and hyperactivity/externalizing were not bidirectionally linked to academics. Post-hoc moderation: the link between baseline academics and end-of-year hyperactivity/externalizing varied by initial hyperactivity (b=.05, SE=.02, p<.03). Highlights WM's central role and the utility of field-feasible teacher-reported SEL assessment in resource-constrained settings.",,No,"Aber, Larry",New York University Steinhardt,"Abiraahmi Shankar, Ha Yeon Kim, Caroline Tubbs-Dolan, Roxane Caires, J. Lawrence Aber, Mayarí Montes de Oca, Patrick Anker",2026,International Journal of Behavioral Development,https://doi.org/10.1177/01650254261434433,,https://openalex.org/W7160414418,0,"This study investigates bidirectional relationships between Syrian refugee children’s social and emotional learning (SEL) skills and academic performance in an education support program in Lebanon. Using data from a cluster randomized control trial with 2,757 students who completed performance-based academic assessments and reports of their SEL skills from 131 teachers, we examine bidirectional associations between academic and five teacher-observable SEL skills/behaviors: Working Memory Functioning, Inhibitory Control Functioning, Prosocial Behavior, Hyperactivity &amp; Externalizing Behavior, and Emotional Distress &amp; Internalizing Behavior. Controlling for child-, teacher-, household risk-, and site-level covariates, multilevel modeling revealed that Working Memory Functioning uniquely stood apart from other SEL domains: start-of-year teacher-reported Working Memory Functioning predicted end-of-year academic performance, and start-of-year academic performance predicted end-of-year teacher-reported Working Memory Functioning. No other SEL skills demonstrated such bidirectional associations. Start-of-year academic performance also negatively predicted end-of-year teacher-reported Emotional Distress. Findings highlight the distinct and central role of Working Memory Functioning in academic learning, suggesting that easier-to-collect academic performance data may serve as an indicator of SEL skills that may be difficult to assess sans strong teacher–student relationships. Further, they highlight the utility of teacher-reported SEL assessments in resource-constrained contexts, calling attention to bidirectional developmental pathways when supporting children’s holistic well-being."
"Betancourt, Theresa — 2023 — A Tale of Two Programs for Parents of Young Children: Independently-Conducted Case…",,Bhutan; Rwanda,Parenting programs delivered to groups (Bhutan) and via home visits (Rwanda),-1.94,29.87,yes,Implementation research / workforce study (mixed methods); two independently-conducted case studies,,mixed,intervention,"Prescription to Play (Bhutan, Save the Children) and Sugira Muryango (Rwanda, Boston College/Univ. of Rwanda/FXB)",,no,,,Frontline delivery workforce: health assistants (Bhutan) & community volunteers (Rwanda); 10–11 days training,,,,Yes,,"Parents of young children served by two parenting programs; study focus is the delivery workforce (health assistants in Bhutan; volunteers in Rwanda), trained 10–11 days",,,,,,,,,,Yes,,,,,,,,,,Yes (worker knowledge / delivery competence),Yes (positive parenting is the program target),,,parenting practices; workforce/implementation quality,,,,,,,,,,,,,,,"Independent observation rated delivery quality as generally good: overall mean 2.36/3 (Bhutan, n=60) and 2.44/3 (Rwanda, n=60) across 10 active-teaching/learning qualities. | Workers' duty, confidence, and community respect were strong motivators. Scale-up facilitators: institutionalized training and a knowledgeable workforce in Bhutan (barrier: an overworked workforce); strong follow-up supervision in Rwanda (barrier: high attrition among a volunteer workforce).",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,"Independently-conducted implementation case studies of two parenting programs—Prescription to Play (Bhutan, group-based) and Sugira Muryango (Rwanda, home-visiting)—focused on the delivery workforce. Workers were trained 10–11 days using demonstrations, role plays, and manuals. Duty, confidence, and community respect were strong motivators. Independent observation rated delivery quality as generally good: overall mean 2.36/3 (Bhutan) and 2.44/3 (Rwanda) across 10 items. Facilitators of scale-up in Bhutan = institutionalized training and a knowledgeable workforce (barrier: an overworked workforce); in Rwanda = strong follow-up supervision (barriers: high attrition among a volunteer workforce).",,Yes,"Betancourt, Theresa",Boston College School of Social Work,"Frances E. Aboud, Karma Choden, Michael Tusiimi, Rafael Contreras Gomez, Rachel Hatch, Sara Dang, Theresa S. Betancourt, Karma Dyenka, Grace Umulisa, Carina Omoeva",2023,Children,https://doi.org/10.3390/children10081413,https://www.mdpi.com/2227-9067/10/8/1413/pdf?version=1692436474,https://openalex.org/W4386030601,10,"Two case studies of parenting programs, aiming to improve parenting practices and child development outcomes, and implemented by Save the Children/Ministry of Health/Khesar Gyalpo University in Bhutan and Boston College/University of Rwanda/FXB in Rwanda, respectively called Prescription to Play and Sugira Muryango, were conducted by an independent research and learning group. Implementation research focused on the workforce, a crucial but little-studied element determining the success of programs going to scale. Mixed methods were used to examine their training, workload, challenges, and quality of delivery. Health assistants in Bhutan and volunteers in Rwanda were trained for 10-11 days using demonstrations, role plays, and manuals outlining activities to deliver to groups of parents (Bhutan) or during home visits (Rwanda). Workers' own assessments of their delivery quality, their confidence, and their motivations revealed that duty, confidence, and community respect were strong motivators. According to independent observations, the quality of their delivery was generally good, with an overall mean rating on 10 items of 2.36 (Bhutan) and 2.44 (Rwanda) out of 3. The facilitators of scaling for Bhutan included institutionalizing training and a knowledgeable workforce; the barrier was an overworked workforce. The facilitators of scaling for Rwanda included strong follow-up supervision; the barriers included high attrition among a volunteer workforce."
"Betancourt, Theresa — 2023 — Measuring the cost-effectiveness of a home-visiting intervention to promote early child…",,Rwanda (Sugira Muryango trial),"Home-visiting in families in extreme poverty, rural Rwanda",-1.94,29.87,no,Cost-effectiveness analysis based on a cluster-RCT (Sugira Muryango),,quantitative,intervention,Sugira Muryango (home-visiting; cost-effectiveness analysis),,n/a (economic analysis of cRCT data),,,Families enrolled in the Sugira Muryango cluster-RCT,,,,Yes,,Families with young children living in extreme poverty in rural Rwanda; home-visiting delivered by community workers,,,,Yes,,,,,,,,,Yes,Yes,,,,,Yes (violence against children; intimate partner violence reductions),,,,Yes (family-focused; father engagement),economic / cost-effectiveness outcomes,,,,,,,,,,,,,,,"Trial intervention cost US$456 per family (projected to fall below US$200 if scaled through government systems). SM generated a relatively small but efficient impact on early cognitive development — comparable per home-visit session to longer-duration home-visiting programs. | Beyond ECD, SM families showed decreased harsh discipline (IRR=0.741, 95% CI 0.657–0.835) and intimate partner violence (IRR=0.616, 95% CI 0.458–0.828); further analysis is needed to monetize these returns.",,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,"Cost-effectiveness analysis of the Sugira Muryango (SM) home-visiting cluster-RCT in rural Rwanda, proposing improvement in cognitive development per home-visit session as a single comparable efficiency metric. Trial intervention cost was US$456 per family (likely <US$200 if scaled through government systems). SM generated a relatively small but EFFICIENT impact on early cognitive development—comparable per home-visit to longer-duration home-visiting programs. By focusing on the whole family, SM also yielded benefits beyond ECD, including reductions in violence against children and intimate partner violence; the authors note further analysis is needed to monetize these returns.",,Yes,"Betancourt, Theresa",Boston College School of Social Work,"Chris Desmond, Kathryn Watt, Sarah K. G. Jensen, Erik Simmons, Shauna M. Murray, Jordan Farrar, Matias Placencio‐Castro, Vincent Sezibera, Laura B. Rawlings, Briana Wilson, Theresa S. Betancourt",2023,PLOS Global Public Health,https://doi.org/10.1371/journal.pgph.0002473,https://journals.plos.org/globalpublichealth/article/file?id=10.1371/journal.pgph.0002473&type=printable,https://openalex.org/W4387909691,5,"Early childhood development (ECD) programmes are heralded as a way to improve children's health and educational outcomes. However, few studies in developing countries calculate the effectiveness of quality early childhood interventions. This study estimates the cost and cost-effectiveness of the Sugira Muryango (SM) trial, a home-visiting intervention to improve ECD outcomes through positive parent-child relationships. Cost-effectiveness analysis of ECD interventions is challenging given their potential to have multiple benefits. We propose a cost-effectiveness method using a single outcome, in this case the improvement in cognitive development per home-visit session, as an indication of efficiency comparable across similar interventions. The trial intervention cost US$456 per family. This cost will likely fall below US$200 if the intervention is scaled through government systems. The cost-effectiveness analysis suggests that while SM generated a relatively small impact on markers of early development, it did so efficiently. The observed improvements in cognitive development per home-visit are similar to other home-visiting interventions of longer duration. SM by focusing on the family had benefits beyond ECD, including reductions in violence against children and intermate partner violence, further analysis is needed to include these returns in the economic evaluation."
"Betancourt, Theresa — 2024 — Maternal Subjective Wellbeing and the Cognitive and Socioemotional Outcomes of 3- to…",,Nigeria,Nationally representative sample (Multiple Indicator Cluster Survey),9.08,8.68,no,Cross-sectional (structural equation modeling); secondary analysis of nationally representative MICS data,,quantitative,observational,,,not applicable,,,"3,176 mother/caregiver–child dyads",Yes,,Yes (mothers/caregivers 15–24),Yes,,"Nationally representative sample of Nigerian women aged 15–24 and their focal child aged 3–4 years (N=3,176; MICS)",Yes,,,Yes,,,,Yes,Yes,,,,,,"Child literacy, cognitive, and socioemotional indices (composite child development outcomes)",,"Yes (maternal subjective wellbeing: positive/negative affect, life satisfaction, optimism)",,,"Yes (family investments: early education, children’s books)",Yes (stimulating activities with the child),,,,,,,,,,,,,,,,,,"SEM (n=3,176): maternal subjective wellbeing (SWB) had only a weak, inverse total effect on child cognitive/literacy/socioemotional outcomes (≈−0.04), unchanged when standardized or mediated by family investments. | Family investments (early education, children's books, stimulating activities) had the most robust path to child outcomes (total effects 0.79, p<0.001; covariance investment↔child-outcome construct 0.79, p<0.001). Child-development factor loadings: cognition/approaches-to-learning 0.80, socioemotional 0.24, literacy/numeracy 0.23 (all p<0.001); model fit RMSEA=0.0, CFI=1.0, TLI=1.0. Religion and education level predicted higher SWB.",,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes (conceptual/SEM model),"Structural equation modeling on a nationally representative MICS sample (N=3,176) of Nigerian mothers/caregivers (15–24) and their 3–4-year-olds. Maternal subjective wellbeing (SWB: affect, life satisfaction, optimism) averaged moderate-to-high but had only a WEAK, INVERSE association with child cognitive/literacy/socioemotional outcomes (total effects ≈ −0.04), unchanged when standardized or mediated by family investments. In contrast, FAMILY INVESTMENTS (early education, children’s books, stimulating activities) showed a strong POSITIVE association with child outcomes (total effects 0.79, p<.001). Religion and educational level predicted higher SWB. Authors conclude SWB is a weak proxy for maternal mental health and underscore investing in child development, child engagement, and family-strengthening programs.",,No,"Betancourt, Theresa",Boston College School of Social Work,"Ngozi V. Enelamah, Margaret Lombe, Theresa S. Betancourt, Ce Shen, David R. Williams",2024,Journal of Child and Family Studies,https://doi.org/10.1007/s10826-023-02763-1,,https://openalex.org/W4390584402,2,"Evidence linking maternal subjective wellbeing (SWB) to early childhood development (ECD) is scarce. SWB measures an individual’s negative and positive affect, life satisfaction, and optimism. Using structural equation modeling and a nationally representative sample of Nigerian women 15–24 and their focal child 3–4 years old (N=3,176), this study examined associations of maternal/caregiver SWB with child literacy, cognitive, and socioemotional indices. Women reported average-to-high SWB. The SWB construct had a weak, inverse association with child outcomes; the weak direct path did not change when standardized or mediated by family investments such as early education, children’s books, or stimulating activities (total effects −0.04). Family investments showed a strong, robust association with child outcomes (total effects 0.79, p<0.001). Findings suggest SWB is a weak proxy for mental health and underscore the need to invest in child development, child engagement, and family-strengthening programs."
"Betancourt, Theresa — 2024 — Parenting and family interventions in lower and middle-income countries for child and…",,Low- and middle-income countries (incl. humanitarian settings),,,,no,Systematic review (update of a prior review),,quantitative,review,,,not applicable,,,18193,,,,,,caregivers,,,,,Yes,,,Yes,Yes,,,,,,,,Yes,,,Yes (caregiver psychoeducation),Yes (communication skills; differential reinforcement),,Yes (engagement of fathers; family-focused care),mental health/wellbeing; economic outcomes,,,,,,,,,,,,,,,"80 studies (n=18,193) representing 64 different interventions; 43 had evidence of effect on a child/adolescent mental health outcome, and only 3 found no effect on child, adolescent, or caregiver outcomes. | The most common practice elements in effective interventions were caregiver psychoeducation, communication skills, and differential reinforcement; key implementation lessons were non-specialist delivery, engagement of fathers, and integrated/multi-sector care to holistically address family needs.",,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Systematic review (update) of parenting/family interventions for children/adolescents aged 0–24 in LMICs, including humanitarian settings, measuring child/adolescent mental health. 80 studies (n=18,193) covering 64 different interventions; 43 had evidence of effect on a child/adolescent mental health outcome, and only 3 found no effect on child, adolescent, or caregiver outcomes. The most common practice elements in EFFECTIVE interventions were caregiver psychoeducation, communication skills, and differential reinforcement. Key implementation lessons: non-specialist delivery, engagement of fathers, and integrated/multi-sector care to holistically address family needs. Despite high heterogeneity, findings support parenting/family interventions to address the wider social ecology of children in low-resource settings.",,Yes,"Betancourt, Theresa",Boston College School of Social Work,"Tania Bosqui, Anas Mayya, Sally Farah, Zahraa Shaito, Mark J. D. Jordans, Gloria A. Pedersen, Theresa S. Betancourt, Alan Carr, Michael Donnelly, Felicity L. Brown",2024,Comprehensive Psychiatry,https://doi.org/10.1016/j.comppsych.2024.152483,https://doi.org/10.1016/j.comppsych.2024.152483,https://openalex.org/W4393971121,44,"BACKGROUND: Given the protective effect of nurturing caregivers and families for child and adolescent mental health, there is a need to review and synthesize research evidence regarding the effectiveness of parenting and family interventions in low and middle-income countries, including humanitarian settings. To advance practice, further understanding of the active ingredients of such interventions and implementation factors that lead to effectiveness are essential. METHOD: This systematic review, an update from a previous review, included studies on any parenting or family intervention for children and adolescents aged 0-24, living in a low- or middle-income country, that quantitatively measured child or adolescent mental health outcomes. We searched Global Health, PubMed, PsychINFO, PILOTS and the Cochrane Library databases on the 9th July 2020, and updated on the 12th August 2022. Risk of bias was assessed using an adapted version of the NIH Quality Assessment Tool. We extracted data on: effectiveness outcomes, practice elements included in effective interventions, and implementation challenges and successes. MAIN FINDINGS: We found a total of 80 studies (n = 18,193 participants) representing 64 different family or parenting interventions, 43 of which had evidence of effect for a child or adolescent mental health outcome. Only 3 studies found no effect on child, adolescent or caregiver outcomes. The most common practice elements delivered in effective interventions included caregiver psychoeducation, communication skills, and differential reinforcement. Key implementation strategies and lessons learned included non-specialist delivery, the engagement of fathers, and integrated or multi-sector care to holistically address family needs. PRELIMINARY CONCLUSIONS: Despite a high level of heterogeneity, preliminary findings from the review are promising and support the use of parenting and family interventions to address the wider social ecology of children in low reso"
